,特徵,資料型態,非空值數量
0,授權日期(標準化),float64,8162129
1,授權時間(標準化),float64,8162129
2,交易金額-台幣(對數)(標準化),float64,8162129
3,分期期數(對數)(標準化),float64,8162129
4,實付金額(對數)(標準化),float64,8162129
5,消費地金額(對數)(標準化),float64,8162129
6,日期區段,int64,8162129
7,消費地幣別,float64,8162129
8,是否紅利交易,int64,8162129
9,mcc_code,float64,8162129
10,交易類別,int64,8162129
11,分期期數_指示,int64,8162129
12,交易型態,float64,8162129
13,網路交易註記,int64,8162129
14,是否分期交易,int64,8162129
15,3D交易註記,int64,8162129
16,超額註記碼,int64,8162129
17,Fallback註記,int64,8162129
18,支付型態,float64,8162129
19,消費城市,float64,8162129
20,狀態碼,float64,8162129
21,時間區段,int64,8162129
22,消費地國別,float64,8162129
23,盜刷與否,int64,8162129
